reshape_time,store_kvcache_time,attn_time,split_time,loadkv_time,prefill_transpose_time,loadkv_time_transpose,maskgen_time,final_reshape_time,overall_attention_time
1.0013580322265625e-05,7.796287536621094e-05,0.0033330917358398438,0,0,3.695487976074219e-05,0,0.0030748844146728516,2.09808349609375e-05,0.0034477710723876953
1.0251998901367188e-05,7.843971252441406e-05,0.003186464309692383,0,0,3.743171691894531e-05,0,0.0029296875,2.0503997802734375e-05,0.003301382064819336
1.0251998901367188e-05,7.939338684082031e-05,0.003361225128173828,0,0,3.647804260253906e-05,0,0.003103017807006836,2.1219253540039062e-05,0.003477811813354492
1.0251998901367188e-05,7.915496826171875e-05,0.0031957626342773438,0,0,3.743171691894531e-05,0,0.0029363632202148438,2.193450927734375e-05,0.003312826156616211
1.0013580322265625e-05,7.748603820800781e-05,0.00799417495727539,0,0,3.743171691894531e-05,0,0.007734775543212891,2.09808349609375e-05,0.00810861587524414
1.0251998901367188e-05,7.843971252441406e-05,0.011602401733398438,0,0,3.719329833984375e-05,0,0.011342287063598633,2.1696090698242188e-05,0.011719226837158203
1.049041748046875e-05,7.987022399902344e-05,0.011605978012084961,0,0,3.695487976074219e-05,0,0.011346101760864258,2.1219253540039062e-05,0.011723756790161133
1.0013580322265625e-05,7.82012939453125e-05,0.011620521545410156,0,0,3.695487976074219e-05,0,0.011358261108398438,2.2172927856445312e-05,0.011736869812011719
1.0251998901367188e-05,7.724761962890625e-05,0.010617256164550781,0,0,3.8623809814453125e-05,0,0.010358810424804688,2.1696090698242188e-05,0.010732650756835938
1.0251998901367188e-05,7.748603820800781e-05,0.010613679885864258,0,0,3.6716461181640625e-05,0,0.010356664657592773,2.2172927856445312e-05,0.010729551315307617
1.0013580322265625e-05,7.843971252441406e-05,0.010611534118652344,0,0,3.790855407714844e-05,0,0.010355234146118164,2.1696090698242188e-05,0.010728597640991211
9.775161743164062e-06,7.724761962890625e-05,0.010598421096801758,0,0,3.743171691894531e-05,0,0.010336160659790039,2.1219253540039062e-05,0.010712862014770508
9.775161743164062e-06,7.867813110351562e-05,0.010670661926269531,0,0,3.790855407714844e-05,0,0.010411977767944336,2.1457672119140625e-05,0.010786771774291992
1.049041748046875e-05,7.891654968261719e-05,0.01064610481262207,0,0,3.719329833984375e-05,0,0.010388612747192383,2.0503997802734375e-05,0.01076197624206543
1.0728836059570312e-05,7.796287536621094e-05,0.010721683502197266,0,0,3.600120544433594e-05,0,0.010466337203979492,2.1457672119140625e-05,0.010837793350219727
1.0967254638671875e-05,7.796287536621094e-05,0.010650634765625,0,0,3.719329833984375e-05,0,0.010393142700195312,2.193450927734375e-05,0.010767698287963867
1.4066696166992188e-05,2.1457672119140625e-06,0.4946000576019287,8.559226989746094e-05,0.017511844635009766,0,3.3855438232421875e-05,0.0030760765075683594,3.8623809814453125e-05,0.5153722763061523
1.2636184692382812e-05,1.9073486328125e-06,0.0002758502960205078,7.319450378417969e-05,0.0021333694458007812,0,2.7418136596679688e-05,0.0030698776245117188,2.1696090698242188e-05,0.005625486373901367
1.0251998901367188e-05,1.6689300537109375e-06,0.00026226043701171875,6.794929504394531e-05,0.0029566287994384766,0,2.6464462280273438e-05,0.003101348876953125,2.1219253540039062e-05,0.0064547061920166016
1.0013580322265625e-05,1.430511474609375e-06,0.0002613067626953125,6.508827209472656e-05,0.0029621124267578125,0,2.5033950805664062e-05,0.0029299259185791016,2.1219253540039062e-05,0.006283283233642578
1.0013580322265625e-05,1.9073486328125e-06,0.00025844573974609375,6.580352783203125e-05,0.0029540061950683594,0,2.7418136596679688e-05,0.00315093994140625,2.1219253540039062e-05,0.006497383117675781
1.0728836059570312e-05,1.9073486328125e-06,0.0002593994140625,6.580352783203125e-05,0.0029633045196533203,0,2.5987625122070312e-05,0.002947568893432617,2.1457672119140625e-05,0.006302356719970703
9.775161743164062e-06,1.6689300537109375e-06,0.00026154518127441406,6.580352783203125e-05,0.0029828548431396484,0,2.574920654296875e-05,0.003147602081298828,2.1219253540039062e-05,0.0065228939056396484
1.0251998901367188e-05,1.430511474609375e-06,0.00026726722717285156,6.67572021484375e-05,0.0029571056365966797,0,2.7418136596679688e-05,0.002938985824584961,2.193450927734375e-05,0.00629878044128418
1.049041748046875e-05,1.430511474609375e-06,0.0002598762512207031,6.461143493652344e-05,0.002977132797241211,0,2.5510787963867188e-05,0.0031595230102539062,2.1219253540039062e-05,0.00652766227722168
1.0013580322265625e-05,1.430511474609375e-06,0.0002598762512207031,6.556510925292969e-05,0.0029730796813964844,0,2.7894973754882812e-05,0.0029897689819335938,2.1457672119140625e-05,0.0063555240631103516
1.0251998901367188e-05,1.430511474609375e-06,0.0002639293670654297,6.532669067382812e-05,0.002948284149169922,0,2.574920654296875e-05,0.003160715103149414,2.193450927734375e-05,0.00650477409362793
9.775161743164062e-06,1.430511474609375e-06,0.00026297569274902344,6.413459777832031e-05,0.0029745101928710938,0,2.7418136596679688e-05,0.0029795169830322266,2.1696090698242188e-05,0.006348609924316406
1.0251998901367188e-05,1.9073486328125e-06,0.00026297569274902344,6.580352783203125e-05,0.0029993057250976562,0,2.7418136596679688e-05,0.0031430721282958984,2.1696090698242188e-05,0.006539106369018555
1.0013580322265625e-05,1.9073486328125e-06,0.00025916099548339844,6.4849853515625e-05,0.0029714107513427734,0,2.6464462280273438e-05,0.002973794937133789,2.1219253540039062e-05,0.006335735321044922
1.0013580322265625e-05,1.6689300537109375e-06,0.00026488304138183594,6.389617919921875e-05,0.0029306411743164062,0,2.5272369384765625e-05,0.0031232833862304688,2.2172927856445312e-05,0.006449699401855469
9.775161743164062e-06,1.6689300537109375e-06,0.00026535987854003906,6.437301635742188e-05,0.002988100051879883,0,2.6941299438476562e-05,0.002933502197265625,2.1457672119140625e-05,0.006317615509033203
1.0967254638671875e-05,1.430511474609375e-06,0.00026345252990722656,6.389617919921875e-05,0.002973794937133789,0,2.7179718017578125e-05,0.0031282901763916016,2.193450927734375e-05,0.006498575210571289
1.0013580322265625e-05,1.6689300537109375e-06,0.0002684593200683594,6.246566772460938e-05,0.0029768943786621094,0,2.6941299438476562e-05,0.0029592514038085938,2.193450927734375e-05,0.0063343048095703125
1.0251998901367188e-05,1.6689300537109375e-06,0.00025963783264160156,6.437301635742188e-05,0.002975940704345703,0,2.574920654296875e-05,0.003165006637573242,2.1219253540039062e-05,0.006531238555908203
9.775161743164062e-06,1.430511474609375e-06,0.0002589225769042969,6.747245788574219e-05,0.0029327869415283203,0,2.574920654296875e-05,0.002948760986328125,2.193450927734375e-05,0.006274223327636719
9.775161743164062e-06,1.9073486328125e-06,0.0002644062042236328,6.437301635742188e-05,0.002979755401611328,0,2.6702880859375e-05,0.003197193145751953,2.1457672119140625e-05,0.006573200225830078
1.049041748046875e-05,1.9073486328125e-06,0.0002579689025878906,6.389617919921875e-05,0.002956867218017578,0,2.5987625122070312e-05,0.0029609203338623047,2.09808349609375e-05,0.0063054561614990234
